asr_prompt,input_evasion,asr_response,asr_both,at_least_one_success,consistent_success,scenario
50.0,50.0,3.3333333333333335,13.733333333333334,28.47222222222222,12.5,It_Ratio_0.8_Balanced_ContentOnly
50.0,50.0,2.1333333333333333,12.133333333333333,28.671328671328673,11.188811188811188,It_Ratio_0.8_Arabic_Dom_ContentOnly
48.66666666666667,51.33333333333333,4.266666666666667,9.733333333333333,19.863013698630137,8.904109589041095,It_Ratio_0.8_Greek_Dom_ContentOnly
55.333333333333336,44.666666666666664,3.5999999999999996,12.266666666666666,28.87323943661972,7.042253521126761,It_Ratio_0.8_Spanish_Dom_ContentOnly
54.666666666666664,45.333333333333336,2.2666666666666666,13.733333333333334,21.897810218978105,11.678832116788321,It_Ratio_0.8_Japanese_Dom_ContentOnly
57.333333333333336,42.666666666666664,1.2,5.333333333333334,15.384615384615385,2.097902097902098,En_Ratio_0.8_Balanced_ContentOnly
60.66666666666667,39.33333333333333,0.4,4.533333333333333,11.971830985915492,3.5211267605633805,En_Ratio_0.8_Arabic_Dom_ContentOnly
58.666666666666664,41.333333333333336,1.2,8.799999999999999,18.115942028985508,8.695652173913043,En_Ratio_0.8_Greek_Dom_ContentOnly
57.333333333333336,42.666666666666664,0.5333333333333333,4.666666666666667,15.328467153284672,2.18978102189781,En_Ratio_0.8_Spanish_Dom_ContentOnly
59.333333333333336,40.666666666666664,0.4,3.2,11.194029850746269,0.7462686567164178,En_Ratio_0.8_Japanese_Dom_ContentOnly
